City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
216,Destin,US,82.96,clear sky,30.3935,-86.4958,Wingate by Wyndham Destin
217,Bandarbeyla,SO,80.47,broken clouds,9.4942,50.8122,JABIR HOTEL
218,Cabo San Lucas,MX,84.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
219,Kalat,PK,78.4,broken clouds,29.0225,66.5916,PHE Rest House
225,Tortoli,IT,80.42,few clouds,39.9256,9.6572,Hotel La Bitta
227,Teknaf,BD,88.12,scattered clouds,20.8624,92.3058,Forestry Guesthouse
233,Dalnegorsk,RU,82.89,broken clouds,44.5604,135.5701,Dalnegorsk
239,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
240,Nishihara,JP,89.65,scattered clouds,26.1842,127.7558,Minshuku Agaihama
241,Mardan,PK,89.4,scattered clouds,34.2019,72.0525,Post Graduate Hostel
246,Roma,US,77.72,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
250,Jinxiang,CN,88.3,clear sky,27.4327,120.6062,Wolong Village
258,Arkadak,RU,77.95,few clouds,51.9326,43.4978,Khoper
263,Qurayyat,SA,80.78,clear sky,31.3318,37.3428,Resorts Kandel
266,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
267,Tonekabon,IR,82.35,scattered clouds,36.8163,50.8738,Hotel Sadra
269,Corinth,GR,85.89,clear sky,37.9407,22.9573,Ephira Hotel
273,Stevens Point,US,75.99,broken clouds,44.5236,-89.5746,Fairfield Inn & Suites by Marriott Stevens Point
274,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
276,Isangel,VU,80.46,clear sky,-19.55,169.2667,Tanna Lodge
278,Thivai,GR,82.8,clear sky,38.325,23.3189,"HOTEL NIOVI, ΘΕΟΔΩΡΟΥ ΣΤΥΛΙΑΝΟΣ, ΞΕΝΟΔΟΧΕΙΟ"
280,Saint George,US,89.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
285,Corcoran,US,84.58,clear sky,36.098,-119.5604,Budget Inn Motel Corcoran
286,Atbasar,KZ,76.78,broken clouds,51.8,68.3333,Гостиничный Комплекс Saad
287,North Myrtle Beach,US,78.85,clear sky,33.816,-78.68,Avista Resort
290,Tautira,PF,75.72,broken clouds,-17.7333,-149.15,Pension Oaoa
291,Denpasar,ID,82.06,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
293,Hambantota,LK,84.54,scattered clouds,6.1241,81.1185,Bungalow 63
301,Tura,IN,88.48,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
